Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.94528E-6,0.000194528,0.000290179,1,0,0
3.16889E-6,0.000511417,0.000472664,0.99695122,0,0
4.3402E-6,0.001378804,0.000647318,0.990853659,0,0
6.28549E-6,0.002601572,0.000937311,0.984756098,0,0
9.57311E-6,0.005410367,0.001427221,0.975609756,0,0
1.37091E-5,0.010099151,0.002043216,0.963414634,0,0
2.21698E-5,0.026691282,0.00330212,0.93597561,0,0
2.91089E-5,0.052528631,0.004333424,0.905487805,0,0
4.37162E-5,0.100664488,0.006500925,0.865853659,0,0
7.0017E-5,0.201427586,0.010391672,0.81097561,0,0
1.06867E-4,0.304885604,0.015817392,0.774390244,0,0
1.4439E-4,0.404469669,0.021311676,0.75,0,0
1.74143E-4,0.514931203,0.025646299,0.728658537,0,0
1.9293E-4,0.60640273,0.028373435,0.713414634,0,0
2.27233E-4,0.715237217,0.033333395,0.698170732,0,0
2.47723E-4,0.763036799,0.036283875,0.692073171,0,0
2.58437E-4,0.814362934,0.037823102,0.68597561,0,0
3.07095E-4,0.92742152,0.044782705,0.673780488,0,0
3.30256E-4,1.024911957,0.04807769,0.664634146,0,0
3.49687E-4,1.126808836,0.050833241,0.655487805,0,0
3.82428E-4,1.200888908,0.055458462,0.649390244,0,0
4.04014E-4,1.320245236,0.058495346,0.640243902,0,0
4.15798E-4,1.402550598,0.060149252,0.634146341,0,0
4.28041E-4,1.530259998,0.061864311,0.625,0,0
4.46506E-4,1.794282096,0.06444525,0.606707317,0,0
5.01136E-4,2.032689198,0.072039358,0.591463415,0,0
5.24113E-4,2.288871577,0.075214981,0.576219512,0,0
5.78213E-4,2.511605133,0.082649255,0.56402439,0,0
6.01794E-4,2.807241193,0.085870889,0.548780488,0,0
6.31175E-4,3.05598157,0.089869165,0.536585366,0,0
6.73262E-4,3.255404028,0.095566,0.527439024,0,0
7.26948E-4,3.543313697,0.102781226,0.515243902,0.011235955,0
7.74016E-4,3.772012111,0.109059574,0.506097561,0.011235955,0
7.87493E-4,4.007463334,0.11084921,0.49695122,0.011235955,0
8.48417E-4,4.257462297,0.118894464,0.487804878,0.011235955,0
8.81768E-4,4.519297095,0.123267723,0.478658537,0.011235955,0
8.99467E-4,4.786423715,0.125579768,0.469512195,0.011235955,0
